 14
 0 33 37 82 35 12 71 85 36 58 2 99 86 31
 85 0 75 0 43 99 76 60 21 41 63 60 56 83
 89 32 0 49 34 6 82 71 88 17 36 59 55 72
 17 57 24 0 56 89 9 31 41 4 31 18 64 4
 11 27 16 67 0 63 5 99 12 92 5 46 15 45
 63 51 57 18 24 0 74 76 48 82 17 9 66 58
 13 49 28 29 5 40 0 8 22 59 23 79 59 35
 71 16 81 87 62 97 90 0 19 15 66 45 43 66
 80 12 27 98 71 92 99 99 0 21 4 39 82 26
 51 5 58 10 93 29 78 26 68 0 92 23 11 11
 91 77 9 86 44 41 99 71 39 70 0 64 38 69
 37 42 61 71 21 64 77 79 74 22 60 0 4 48
 81 97 72 92 8 15 21 69 1 17 10 52 0 89
 49 22 5 39 44 94 34 57 66 55 21 95 86 0
